num_vectors,k,dim,mean_time_secs
500.0,10.0,512.0,0.001419978141784668
500.0,50.0,512.0,0.0014110445976257325
500.0,100.0,512.0,0.0014224958419799805
500.0,500.0,512.0,0.0014031434059143066
1000.0,10.0,512.0,0.0015790128707885741
1000.0,50.0,512.0,0.001547245979309082
1000.0,100.0,512.0,0.0016022634506225586
1000.0,500.0,512.0,0.001819453239440918
10000.0,10.0,512.0,0.0035134673118591307
10000.0,50.0,512.0,0.003451724052429199
10000.0,100.0,512.0,0.004030554294586181
10000.0,500.0,512.0,0.0036627674102783204
